PhyloName,SpecimenID,Genus,Species,Sex,Institution,CatNo,GroupA,GroupB,CentroidSize,PC1,PC2,PC3,PC4,PC5
Vulpes_vulpes,AMNH_100079_Vulpes_vulpes_J_F,Vulpes,vulpes,F,AMNH,100079,Car,Can,80.89553318,-0.01716185,0.039563818,0.026259942,-0.054137189,-0.024732661
Atelocynus_microtis,AMNH_100095_Atelocynus_microtis_J_M,Atelocynus,microtis,M,AMNH,100095,Car,Can,93.4503502,0.013521349,0.043852127,-0.006234206,-0.041805713,-0.004703665
Pseudalopex_vetulus,AMNH_100100_Lycalopex_vetulus_J_F,Pseudalopex,vetulus,F,AMNH,100100,Car,Can,64.20575297,-0.06734806,-0.00414542,0.008840517,-0.047877032,-0.014548001
Fossa_fossana,AMNH_100454_Fossa_fossa_J_M,Fossa,fossana,M,AMNH,100454,Car,Fel,58.39103403,-0.077409577,-0.026220273,-0.037776504,0.000356711,0.009439686
Galidia_elegans,AMNH_100465_Galidia_elegans_J_F,Galidia,elegans,F,AMNH,100465,Car,Fel,51.28649756,0.011627491,-0.01071036,-0.007383682,0.020554813,0.019084063
Galidia_elegans,AMNH_100466_Galidia_elegans_J_M,Galidia,elegans,M,AMNH,100466,Car,Fel,53.52378801,0.039974752,-0.007271316,0.014040753,0.01438631,0.034052504
Cuon_alpinus,AMNH_100882_Cuon_alpinus_J_M,Cuon,alpinus,M,AMNH,100882,Car,Can,103.6062765,0.000714438,-0.002674874,0.006044474,-0.004445283,-0.043953886
Aonyx_cinerea,AMNH_101638_Amblonyx_cinereus_J_M,Aonyx,cinerea,M,AMNH,101638,Car,Can,50.20114126,0.095070155,-0.088463359,-0.017294716,0.007846269,-0.03608993
Myoictis_melas,AMNH_101976_Myoictis_melas_J_F,Myoictis,melas,F,AMNH,101976,Das,Das,46.40816836,-0.079212929,0.059105069,-0.02716033,-0.032479721,-0.056405227
Paradoxurus_hermaphroditus,AMNH_102038_Paradoxurus_hermaphroditus_J_F,Paradoxurus,hermaphroditus,F,AMNH,102038,Car,Fel,105.0429636,-0.024740762,-0.012378948,-0.055952137,0.039151494,-0.040532394
Cuon_alpinus,AMNH_102083_Cuon_alpinus_J_F,Cuon,alpinus,F,AMNH,102083,Car,Can,100.4561649,0.021834365,0.012397344,-0.011419138,-0.009545734,-0.049575583
Hemigalus_derbyanus,AMNH_102450_Hemigalus_derbyanus_J_M,Hemigalus,derbyanus,M,AMNH,102450,Car,Fel,54.36921592,-0.096759926,-0.014508504,-0.031168581,-0.01010601,-0.018953393
Pardofelis_marmorata,AMNH_102844_Felis_marmorata_J_M,Pardofelis,marmorata,M,AMNH,102844,Car,Fel,58.96860715,0.035133981,-0.024799634,-0.031502023,0.033857248,0.028626599
