Landmarks,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8
Anterior edge of dentary,1,1,1,1,1,1,1
Posterior edge of canine,1,1,1,1,1,1,1
Ventral base of dentary suture,1,1,1,1,1,1,1
Ventral base of the ramus,1,1,4,1,4,1,5
Dorsal base of the ramus,1,1,4,1,4,1,5
Posterior edge of angular,2,2,2,2,2,2,2
Concave point between angular and condyloid,2,2,2,2,2,2,2
Distal edge of condyloid,2,3,3,2,2,3,3
Proximal edge of condyloid,2,3,3,2,2,3,3
Concave point between condyloid and coronoid,2,2,2,3,3,4,4
Dorsal edge of coronoid,2,2,2,3,3,4,4
anterior border of the masseteric fosa,NA,NA,NA,NA,NA,NA,NA
