PhyloID,TreeOrd,GroupA,GroupB,PC1,PC2,PC3,PC4,PC5
Otocyon_megalotis,1,Car,Can,-0.040271622,0.041388362,0.042828182,-0.001968308,-0.026440099
Nyctereutes_procyonoides,2,Car,Can,-0.04610355,-0.000564423,0.014589141,-0.001502218,-0.031926368
Lycaon_pictus,3,Car,Can,-0.020476454,-0.020284856,-0.016043708,-0.015384268,-0.037514974
Canis_mesomelas,4,Car,Can,-0.060887602,0.018129121,0.013932934,-0.030438159,-0.019355233
Canis_simensis,5,Car,Can,-0.056396953,0.027913984,0.017023255,-0.040998427,0.011324483
Canis_latrans,6,Car,Can,-0.047453971,0.00757161,0.017505249,-0.037157077,-0.031938754
Canis_aureus,7,Car,Can,-0.024620395,0.006029416,0.01545382,-0.041487283,-0.046187124
Canis_lupus,8,Car,Can,-0.01620915,0.000267851,-0.022290703,-0.048362827,-0.038756016
Cuon_alpinus,9,Car,Can,0.017903449,0.000599829,-0.001365081,-0.001406926,-0.050125799
Canis_rufus,10,Car,Can,-0.059767642,0.005503009,-0.006784379,-0.050106703,-0.013573531
Canis_adustus,11,Car,Can,-0.080484698,0.022804874,0.026881844,-0.016877998,-0.013119231
Chrysocyon_brachyurus,12,Car,Can,-0.071866114,0.037346125,0.012054853,-0.04625934,0.024542616
Pseudalopex_sechurae,13,Car,Can,-0.068916176,0.011811647,0.022157493,-0.043039926,-0.017988265
Pseudalopex_gymnocercus,14,Car,Can,-0.060333229,0.01399834,0.035742973,-0.063457977,-0.03591617
Pseudalopex_griseus,15,Car,Can,-0.095094601,0.022799448,0.015479961,-0.06057343,0.006919508
Pseudalopex_culpaeus,16,Car,Can,-0.073813029,0.006607488,0.020238205,-0.036990562,-0.012620864
Pseudalopex_vetulus,17,Car,Can,-0.052736646,0.0209605,0.022458084,-0.041910752,-0.028414386
Speothos_venaticus,18,Car,Can,0.060392714,-0.022969394,-0.004797406,0.024323044,-0.048116716
Cerdocyon_thous,19,Car,Can,-0.030938761,0.032973309,0.042912761,-0.027025681,-0.029371498
Atelocynus_microtis,20,Car,Can,0.00808431,0.017224958,0.025465235,0.002778318,-0.009780739
Vulpes_macrotis,21,Car,Can,-0.08876259,0.011328021,0.027519176,-0.07254067,-0.005958925
Urocyon_littoralis,22,Car,Can,-0.112523954,0.007475504,0.010698055,-0.040753794,0.00909902
Urocyon_cinereoargenteus,23,Car,Can,-0.030649021,0.037131332,0.03554884,-0.004963696,-0.028064945
Vulpes_chama,24,Car,Can,-0.114728285,0.028121799,0.003775399,-0.06323018,0.024912903
Vulpes_zerda,25,Car,Can,-0.116367614,0.018026466,0.024424981,-0.078971206,0.004221897
Vulpes_bengalensis,26,Car,Can,-0.044799969,0.01154318,0.02600183,-0.03939483,-0.038887601
Vulpes_rueppellii,27,Car,Can,-0.135137985,0.009427377,0.009937299,-0.068041192,0.005276056
Vulpes_vulpes,28,Car,Can,-0.000777852,0.029558392,0.014482191,-0.055944285,-0.032619683
Vulpes_velox,29,Car,Can,-0.054885361,0.032865922,0.034222031,-0.065422966,0.005907268
Vulpes_lagopus,30,Car,Can,-0.044536229,0.015513044,0.011401003,-0.08250123,-0.01117078
Melursus_ursinus,31,Car,Can,0.031702813,-0.011824457,-0.028854045,0.036544911,0.062677592
Ursus_thibetanus,32,Car,Can,-0.004178864,0.000872781,-0.026368391,0.004328573,0.002732877
Ursus_americanus,33,Car,Can,-0.039207163,-0.013062063,-0.023039669,0.045711018,0.010638011
Helarctos_malayanus,34,Car,Can,0.064601992,0.022887295,-0.001850781,-0.017247645,0.055781814
Ursus_maritimus,35,Car,Can,-0.002554028,0.025599361,-0.025904961,-0.001329052,0.052907176
Ursus_arctos,36,Car,Can,0.025514986,0.024829042,-0.054738765,0.00559592,0.011120111
Tremarctos_ornatus,37,Car,Can,-0.073508991,-0.034163966,-0.0285331,-0.002126448,0.00802023
Ailuropoda_melanoleuca,38,Car,Can,-0.015827652,-0.071476152,-0.100978883,-0.008258626,-0.038653412
Mydaus_marchei,39,Car,Can,-0.041882081,-0.00640459,0.026573413,-0.017728712,0.016582547
Mydaus_javanensis,40,Car,Can,-0.005915514,0.039830286,0.081918765,-0.001211921,0.050188509
Spilogale_pygmaea,41,Car,Can,0.024018145,-0.064029799,-0.009678846,-0.041269672,-0.008067763
Spilogale_gracilis,42,Car,Can,0.011333034,-0.040452684,0.015102844,-0.096823659,0.04038768
Spilogale_putorius,43,Car,Can,0.022141225,-0.074413238,0.001734199,-0.040387866,-0.011759899
Mephitis_mephitis,44,Car,Can,0.041457772,-0.064237352,0.008836589,-0.021584906,-0.023469282
Mephitis_macroura,45,Car,Can,-0.013512201,-0.059177232,0.003326847,-0.063929544,0.018622384
Conepatus_leuconotus,46,Car,Can,0.065931579,-0.020430219,-0.003774343,-0.061907218,-0.039546093
Conepatus_semistriatus,47,Car,Can,0.129350646,-0.050523868,-0.012724716,-0.033135104,-0.024903596
Conepatus_chinga,48,Car,Can,0.02161801,-0.007980744,0.007571364,-0.054009133,-0.002009014
Potos_flavus,49,Car,Can,0.254760115,0.107547659,-0.017609937,-0.040296414,0.03036932
Procyon_cancrivorus,50,Car,Can,0.064483987,0.019827406,0.027142626,-0.015369024,-0.057903772
Procyon_lotor,51,Car,Can,0.010713737,-0.003033344,0.0229584,-0.030557784,-0.061553362
Procyon_pygmaeus,52,Car,Can,-0.073645812,0.008476653,0.035843777,-0.043745152,-0.018017379
Bassariscus_sumichrasti,53,Car,Can,-0.011503963,-0.004690407,0.012602894,-0.009407823,0.004065921
Bassariscus_astutus,54,Car,Can,-0.046559211,0.015479937,0.011881309,-0.036329879,-0.00748457
Nasua_nasua,55,Car,Can,-0.06458214,0.028112884,0.058664817,-0.008596787,-0.021952814
Nasua_narica,56,Car,Can,-0.078205184,0.01978709,0.039033644,-0.007881025,-0.013544287
Nasuella_olivacea,57,Car,Can,-0.06316019,0.058608108,0.076694266,0.010921154,0.003292997
Bassaricyon_neblina,58,Car,Can,0.018853014,0.036361202,0.003474752,-0.024867591,0.008173156
Bassaricyon_alleni,59,Car,Can,-0.003940526,0.034721139,0.007887295,-0.011583875,0.003601027
Bassaricyon_gabbii,60,Car,Can,0.083795586,0.043247345,0.01120643,-0.02948963,-0.008150342
Taxidea_taxus,61,Car,Can,0.057046698,-0.047346424,-0.003030699,0.032307396,-0.031098738
Meles_meles,62,Car,Can,0.059633834,-0.03815058,0.008346193,-0.001844189,-0.019167847
Meles_anakuma,63,Car,Can,-0.04547396,-0.102460331,-0.012832901,0.027294765,-0.022384103
Arctonyx_collaris,64,Car,Can,0.034126664,0.028703059,0.090089557,0.021189186,-0.023994754
Mellivora_capensis,65,Car,Can,0.099429772,-0.038233708,-0.003368516,0.046253241,0.000156689
Martes_pennanti,66,Car,Can,0.061616525,-0.062150656,-0.034071301,-0.00452082,-0.021508583
Martes_melampus,67,Car,Can,-0.027307595,-0.078718492,-0.022278758,-0.01351129,-0.002936603
Martes_martes,68,Car,Can,-0.041009495,-0.078251118,-0.02253072,-0.029277464,0.028726657
Martes_zibellina,69,Car,Can,-0.057300842,-0.113571382,-0.046762864,-0.001079145,0.023713713
Martes_americana,70,Car,Can,-0.016209604,-0.067001291,-0.028156062,-0.012774807,0.013023413
Martes_foina,71,Car,Can,0.026343737,-0.063820434,-0.033288194,-0.033003626,-0.000622584
Martes_flavigula,72,Car,Can,0.063502218,-0.018359913,-0.009815577,-0.009580057,0.002438457
Gulo_gulo,73,Car,Can,0.13932338,-0.013115727,0.001109704,-0.093134891,-0.002679
Eira_barbara,74,Car,Can,0.090435884,-0.077354746,-0.028131553,0.030027739,0.02159251
Mustela_erminea,75,Car,Can,0.052702415,-0.049806265,-0.014557178,-0.025344024,0.030498219
Mustela_altaica,76,Car,Can,0.018063756,-0.072197734,-0.009198016,-0.048231612,0.030613293
Mustela_nivalis,77,Car,Can,-0.018339326,-0.077816746,-0.021731746,-0.072796266,0.024712554
Mustela_nigripes,78,Car,Can,0.037999369,-0.109601648,-0.018595342,-0.016736383,0.042361321
Mustela_eversmanii,79,Car,Can,0.027254581,-0.107228883,-0.014157871,-0.000230533,0.048485628
Mustela_putorius,80,Car,Can,0.007593863,-0.128670706,-0.018816734,0.005079929,0.025357516
Mustela_lutreola,81,Car,Can,0.015030814,-0.117906344,-0.05100548,-0.014486668,0.028350658
Mustela_sibirica,82,Car,Can,0.013260616,-0.101860142,-0.043785806,-0.028908031,0.0406545
Mustela_itatsi,83,Car,Can,-0.006304716,-0.10035879,-0.050787345,-0.037794783,0.04167417
Mustela_kathiah,84,Car,Can,0.042954398,-0.085194217,-0.029309213,-0.039846858,0.04319563
Mustela_nudipes,85,Car,Can,0.040930245,-0.088672897,-0.045672893,-0.034643354,0.034178457
Mustela_frenata,86,Car,Can,0.047532124,-0.077876309,-0.022118274,-0.039153956,0.035727571
Mustela_africana,87,Car,Can,0.106386968,-0.077826726,-0.013447288,-0.021695922,-0.001378268
Neovison_vison,88,Car,Can,0.017604923,-0.105550953,-0.028724822,-0.007522782,0.026170335
Vormela_peregusna,89,Car,Can,0.012691094,-0.099995478,-0.017013031,-0.018633632,0.045397746
Poecilogale_albinucha,90,Car,Can,0.053369881,-0.094638045,-0.026100439,0.024095024,0.020991611
Ictonyx_striatus,91,Car,Can,0.001296025,-0.076676456,-0.026428146,-0.01259188,-0.006594738
Ictonyx_libyca,92,Car,Can,0.014701292,-0.075929653,-0.017024227,-0.01746198,0.016359457
Galictis_vittata,93,Car,Can,-0.007192142,-0.122444386,-0.044053333,0.008833496,0.026677673
Galictis_cuja,94,Car,Can,0.042307275,-0.095656727,-0.01334425,0.031903728,0.030959202
Pteronura_brasiliensis,95,Car,Can,-0.005081211,-0.096728556,-0.021251855,0.051677689,-0.005875853
Lontra_longicaudis,96,Car,Can,0.026947205,-0.092315753,-0.028032439,-0.00955491,-0.015745229
