PhyloID,TreeOrd,GroupA,GroupB,MeanCentroidSize
Otocyon_megalotis,1,Car,Can,69.29926
Nyctereutes_procyonoides,2,Car,Can,86.90466
Lycaon_pictus,3,Car,Can,129.91779
Canis_mesomelas,4,Car,Can,92.04582
Canis_simensis,5,Car,Can,123.28328
Canis_latrans,6,Car,Can,114.45494
Canis_aureus,7,Car,Can,89.58796
Canis_lupus,8,Car,Can,147.42973
Cuon_alpinus,9,Car,Can,102.03122
Canis_rufus,10,Car,Can,189.03441
Canis_adustus,11,Car,Can,96.28355
Chrysocyon_brachyurus,12,Car,Can,171.80756
Pseudalopex_sechurae,13,Car,Can,68.81869
Pseudalopex_gymnocercus,14,Car,Can,87.13331
Pseudalopex_griseus,15,Car,Can,71.4769
Pseudalopex_culpaeus,16,Car,Can,104.83134
Pseudalopex_vetulus,17,Car,Can,65.09282
Speothos_venaticus,18,Car,Can,84.24207
Cerdocyon_thous,19,Car,Can,85.91895
Atelocynus_microtis,20,Car,Can,94.6373
Vulpes_macrotis,21,Car,Can,64.44098
Urocyon_littoralis,22,Car,Can,93.09348
Urocyon_cinereoargenteus,23,Car,Can,73.53386
Vulpes_chama,24,Car,Can,110.19663
Vulpes_zerda,25,Car,Can,74.04567
Vulpes_bengalensis,26,Car,Can,68.19486
Vulpes_rueppellii,27,Car,Can,103.63828
Vulpes_vulpes,28,Car,Can,82.6149
Vulpes_velox,29,Car,Can,65.11254
Vulpes_lagopus,30,Car,Can,73.39266
Melursus_ursinus,31,Car,Can,276.27259
Ursus_thibetanus,32,Car,Can,231.61658
Ursus_americanus,33,Car,Can,223.00177
Helarctos_malayanus,34,Car,Can,154.14868
Ursus_maritimus,35,Car,Can,298.83203
Ursus_arctos,36,Car,Can,334.76141
Tremarctos_ornatus,37,Car,Can,197.94383
Ailuropoda_melanoleuca,38,Car,Can,264.54177
Mydaus_marchei,39,Car,Can,60.92606
Mydaus_javanensis,40,Car,Can,71.03109
Spilogale_pygmaea,41,Car,Can,33.96242
Spilogale_gracilis,42,Car,Can,41.04804
Spilogale_putorius,43,Car,Can,47.94547
Mephitis_mephitis,44,Car,Can,60.27773
Mephitis_macroura,45,Car,Can,55.43087
Conepatus_leuconotus,46,Car,Can,38.70885
Conepatus_semistriatus,47,Car,Can,41.65382
Conepatus_chinga,48,Car,Can,64.55451
Potos_flavus,49,Car,Can,47.87309
Procyon_cancrivorus,50,Car,Can,75.66059
Procyon_lotor,51,Car,Can,58.28286
Procyon_pygmaeus,52,Car,Can,82.10255
Bassariscus_sumichrasti,53,Car,Can,58.8615
Bassariscus_astutus,54,Car,Can,68.92907
Nasua_nasua,55,Car,Can,65.29406
Nasua_narica,56,Car,Can,116.48827
Nasuella_olivacea,57,Car,Can,51.10944
Bassaricyon_neblina,58,Car,Can,56.54833
Bassaricyon_alleni,59,Car,Can,58.08464
Bassaricyon_gabbii,60,Car,Can,47.64996
Taxidea_taxus,61,Car,Can,67.54685
Meles_meles,62,Car,Can,67.79908
Meles_anakuma,63,Car,Can,93.84533
Arctonyx_collaris,64,Car,Can,76.89885
Mellivora_capensis,65,Car,Can,74.94948
Martes_pennanti,66,Car,Can,61.99968
Martes_melampus,67,Car,Can,74.35105
Martes_martes,68,Car,Can,68.06731
Martes_zibellina,69,Car,Can,75.95399
Martes_americana,70,Car,Can,66.01679
Martes_foina,71,Car,Can,72.00759
Martes_flavigula,72,Car,Can,45.37082
Gulo_gulo,73,Car,Can,84.43353
Eira_barbara,74,Car,Can,50.74702
Mustela_erminea,75,Car,Can,24.45133
Mustela_altaica,76,Car,Can,30.41479
Mustela_nivalis,77,Car,Can,20.17811
Mustela_nigripes,78,Car,Can,53.673
Mustela_eversmanii,79,Car,Can,51.89131
